index	prediction
0	0
1	0
2	2
3	0
4	2
5	2
6	0
7	0
8	2
9	0
10	2
11	2
12	0
13	2
14	0
15	2
16	0
17	1
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	2
35	0
36	2
37	0
38	2
39	0
40	0
41	2
42	2
43	0
44	2
45	0
46	0
47	2
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	2
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	2
69	2
70	0
71	0
72	0
73	2
74	0
75	2
76	0
77	0
78	2
79	2
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	2
90	2
91	2
92	0
93	2
94	2
95	2
96	0
97	2
98	0
99	2
100	0
101	2
102	2
103	0
104	0
105	0
106	2
107	0
108	2
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	2
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	2
125	0
126	2
127	0
128	2
129	2
130	0
131	0
132	0
133	0
134	0
135	2
136	0
137	0
138	0
139	0
140	0
141	0
142	2
143	0
144	0
145	0
146	0
147	2
148	0
149	0
150	0
151	0
152	0
153	0
154	2
155	0
156	0
157	0
158	2
159	0
160	2
161	0
162	0
163	0
164	2
165	0
166	2
167	0
168	0
169	0
170	0
171	2
172	2
173	2
174	0
175	2
176	0
177	0
178	0
179	0
180	2
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	2
190	2
191	0
192	0
193	2
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	2
202	2
203	0
204	2
205	0
206	2
207	0
208	0
209	0
210	0
211	0
212	2
213	2
214	2
215	2
216	2
217	0
218	2
219	2
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	2
231	2
232	2
233	0
234	2
235	2
236	2
237	0
238	0
239	0
240	0
241	2
242	0
243	2
244	2
245	2
246	1
247	0
248	2
249	2
250	0
251	2
252	2
253	2
254	2
255	2
256	2
257	2
258	2
259	0
260	2
261	2
262	2
263	0
264	0
265	1
266	2
267	2
268	0
269	2
270	2
271	2
272	0
273	0
274	1
275	0
276	0
277	2
278	2
279	0
280	0
281	0
282	0
283	0
284	0
285	2
286	2
287	2
288	2
289	2
290	2
291	2
292	0
293	0
294	2
295	2
296	0
297	2
298	0
299	2
300	2
301	2
302	0
303	2
304	0
305	2
306	0
307	2
308	2
309	0
310	0
311	1
312	0
313	0
314	2
315	0
316	2
317	2
318	0
319	0
320	2
321	2
322	2
323	0
324	2
325	2
326	0
327	2
328	2
329	2
330	0
331	2
332	0
333	2
334	0
335	0
336	2
337	2
338	2
339	2
340	0
341	2
342	0
343	2
344	0
345	2
346	2
347	0
348	0
349	1
350	0
351	2
352	0
353	2
354	0
355	2
356	2
357	1
358	0
359	0
360	2
361	0
362	2
363	2
364	2
365	2
366	2
367	2
368	2
369	2
370	2
371	0
372	0
373	2
374	0
375	0
376	1
377	0
378	0
379	2
380	0
381	2
382	2
383	2
384	0
385	2
386	2
387	0
388	2
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	2
397	2
398	0
399	0
400	0
401	0
402	0
403	2
404	0
405	0
406	2
407	0
408	2
409	0
410	2
411	0
412	2
413	0
414	2
415	2
416	0
417	0
418	2
419	2
420	2
421	2
422	0
423	0
424	2
425	0
426	2
427	0
428	2
429	0
430	0
431	0
432	2
433	0
434	0
435	0
436	0
437	0
438	0
439	2
440	0
441	2
442	0
443	0
444	2
445	0
446	0
447	2
448	2
449	0
450	2
451	2
452	2
453	0
454	2
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	2
463	0
464	0
465	0
466	0
467	0
468	0
469	2
470	0
471	0
472	0
473	0
474	2
475	0
476	0
477	0
478	0
479	2
480	2
481	0
482	0
483	0
484	0
485	0
486	0
487	2
488	0
489	2
490	2
491	0
492	0
493	0
494	2
495	2
496	2
497	0
498	1
499	0
500	0
501	2
502	0
503	0
504	2
505	2
506	0
507	2
508	2
509	0
510	2
511	0
512	0
513	2
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	2
523	0
524	2
525	0
526	0
527	0
528	0
529	2
530	0
531	0
